vesion,title,description,link,id,ns1:item_group_id,title2,link3,description4,ns1:google_product_category,ns1:l2_category,ns1:product_type,ns1:image_link,ns1:condition,ns1:size,ns1:color,ns1:availability,ns1:price,ns1:brand,ns1:shipping,ns1:sale_price,ns1:totaldiscount,ns1:pattern,ns1:adult,ns1:custom_label_3,ns1:custom_label_2,ns1:custom_label_4,ns1:gtin,ns1:gender,ns1:material
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506755,200508078,THE VANCA Women Short Sleeves Skater Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Short-Sleeves-Skater-Dress/p-200506755,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons A must-have in every woman's closet, this super-cute dress will transform your wardrobe like none other. It is made from superior-quality material and features short sleeves and minimalistic neck pattern that adds oomph to the whole dress. To take your look to another level, team this dress with a pair of pop-coloured stiletto shoes.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/h63/h54/9145945686046/200508078_9212.png_230Wx334H,new,S,Black,in stock,1999 INR,THE VANCA,IN,600 INR,1399 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506886,200508109,THE VANCA Women Lace Top Short Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Lace-Top-Short-Dress/p-200506886,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Take the high road to fashion in this gorgeous cocktail dress that's sure to make you look like a diva. Featuring a stylish lace pattern and flared half sleeves, it is cinched at the waist to lend you a classy and comfortable look. Team it up with a bling clutch and stilettos to complete your look in style.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/hed/hc2/9145154371614/200508109_9612.png_230Wx334H,new,XL,Maroon,in stock,2499 INR,THE VANCA,IN,750 INR,1749 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506887,200508110,THE VANCA Women Lace Top Short Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Lace-Top-Short-Dress/p-200506887,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Take the high road to fashion in this gorgeous cocktail dress that's sure to make you look like a diva. Featuring a stylish lace pattern and flared half sleeves, it is cinched at the waist to lend you a classy and comfortable look. Team it up with a bling clutch and stilettos to complete your look in style.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/had/h42/9145898106910/200508110_9212.png_230Wx334H,new,S,Black,in stock,2499 INR,THE VANCA,IN,750 INR,1749 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506756,200508078,THE VANCA Women Short Sleeves Skater Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Short-Sleeves-Skater-Dress/p-200506756,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons A must-have in every woman's closet, this super-cute dress will transform your wardrobe like none other. It is made from superior-quality material and features short sleeves and minimalistic neck pattern that adds oomph to the whole dress. To take your look to another level, team this dress with a pair of pop-coloured stiletto shoes.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/h63/h54/9145945686046/200508078_9212.png_230Wx334H,new,M,Black,in stock,1999 INR,THE VANCA,IN,600 INR,1399 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506757,200508078,THE VANCA Women Short Sleeves Skater Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Short-Sleeves-Skater-Dress/p-200506757,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons A must-have in every woman's closet, this super-cute dress will transform your wardrobe like none other. It is made from superior-quality material and features short sleeves and minimalistic neck pattern that adds oomph to the whole dress. To take your look to another level, team this dress with a pair of pop-coloured stiletto shoes.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/h63/h54/9145945686046/200508078_9212.png_230Wx334H,new,L,Black,in stock,1999 INR,THE VANCA,IN,600 INR,1399 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506888,200508110,THE VANCA Women Lace Top Short Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Lace-Top-Short-Dress/p-200506888,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Take the high road to fashion in this gorgeous cocktail dress that's sure to make you look like a diva. Featuring a stylish lace pattern and flared half sleeves, it is cinched at the waist to lend you a classy and comfortable look. Team it up with a bling clutch and stilettos to complete your look in style.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/had/h42/9145898106910/200508110_9212.png_230Wx334H,new,M,Black,in stock,2499 INR,THE VANCA,IN,750 INR,1749 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506889,200508110,THE VANCA Women Lace Top Short Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Lace-Top-Short-Dress/p-200506889,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Take the high road to fashion in this gorgeous cocktail dress that's sure to make you look like a diva. Featuring a stylish lace pattern and flared half sleeves, it is cinched at the waist to lend you a classy and comfortable look. Team it up with a bling clutch and stilettos to complete your look in style.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/had/h42/9145898106910/200508110_9212.png_230Wx334H,new,L,Black,in stock,2499 INR,THE VANCA,IN,750 INR,1749 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506758,200508078,THE VANCA Women Short Sleeves Skater Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Short-Sleeves-Skater-Dress/p-200506758,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons A must-have in every woman's closet, this super-cute dress will transform your wardrobe like none other. It is made from superior-quality material and features short sleeves and minimalistic neck pattern that adds oomph to the whole dress. To take your look to another level, team this dress with a pair of pop-coloured stiletto shoes.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/h63/h54/9145945686046/200508078_9212.png_230Wx334H,new,XL,Black,in stock,1999 INR,THE VANCA,IN,600 INR,1399 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506761,200508079,THE VANCA Women Sleeveless Chequered Short Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Sleeveless-Chequered-Short-Dress/p-200506761,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Leave the days of fashion fixes behind you and opt for this stunning monochrome sleeveless dress. Graced with a vibrant chequered pattern, it hugs your figure in style, lending a chic, classy look. Slip into a pair of strappy stilettos and add a sequined sling bag to further elevate your look in style.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/h92/h65/9065753640990/200508079_9100.jpg_230Wx334H,new,L,White,in stock,2199 INR,THE VANCA,IN,660 INR,1539 INR,,N,N,Women,LP,,female,
2,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,Shoppers Stop Product Feed 2018 Apr 17 16:30:08,http://www.shoppersstop.com/,p-200506890,200508110,THE VANCA Women Lace Top Short Dress  ONLINE INDIA,https://www.shoppersstop.com/THE-VANCA-Women-Lace-Top-Short-Dress/p-200506890,"flipkart amazon jabong myntra ajio tatacliq Abof Ajio Lifestyle Pantaloons Take the high road to fashion in this gorgeous cocktail dress that's sure to make you look like a diva. Featuring a stylish lace pattern and flared half sleeves, it is cinched at the waist to lend you a classy and comfortable look. Team it up with a bling clutch and stilettos to complete your look in style.",2271,Westernwear,Dresses,https://sslimages.shoppersstop.com/sys-master/images/had/h42/9145898106910/200508110_9212.png_230Wx334H,new,XL,Black,in stock,2499 INR,THE VANCA,IN,750 INR,1749 INR,,N,N,Women,LP,,female,
