#keyword,category
Lavie,brand
Imara,brand
BURBERRY,brand
MAC,brand
ESTEE LAUDER,brand
Bobbi Brown,brand
Rheson,brand
Clinique,brand
Pure Sense,brand
IsaDora,brand
Anne Klein,brand
Misfit,brand
Furla,brand
Pick Pocket,brand
